d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
25000,Saltillo Centro,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0001,Urbano,08
25010,Vista Hermosa,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0009,Urbano,08
25010,La Fuente,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,1842,Urbano,08
25010,Privada la Misión,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2400,Urbano,08
25010,Privada la Campana,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2401,Urbano,08
25010,Nuevo Saltillo,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2830,Urbano,08
25010,Privada de San Javier,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,2832,Urbano,08
25010,Solidaridad,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2877,Urbano,08
25010,Parajes de la Sierra,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,2906,Urbano,08
25013,15 de Septiembre,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0011,Urbano,08
25013,Villa Morelos,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0051,Urbano,08
25013,Milenio,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0354,Urbano,08
25013,El Monte del Sinaí,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0377,Urbano,08
25013,Cordillera,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0439,Urbano,08
25013,La Cascada,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0482,Urbano,08
25013,Ampliación Morelos,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,1844,Urbano,08
25013,Amistad,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,1845,Urbano,08
25013,Morelos Nueva Creación,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,2578,Urbano,08
25013,Balcones de Morelos,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,2697,Urbano,08
25013,Valle de Morelos,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,2864,Urbano,08
25013,Parque Industrial Amistad,Zona industrial,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,37,030,3198,Urbano,08
25013,Privada Morelos,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,3222,Urbano,08
25013,Colibrí,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,3269,Urbano,08
25014,10 de Abril,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0013,Urbano,08
25014,San Pedro de los Pinos,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0014,Urbano,08
25014,Cecilia Ocelli de Salinas,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2402,Urbano,08
25015,Fundadores,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0015,Urbano,08
25015,El Pedregal,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0378,Urbano,08
25015,Fuentes del Pedregal,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0380,Urbano,08
25015,Edgar Puente,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0424,Urbano,08
25015,Villa de Santiago,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,1747,Urbano,08
25015,Lomas del Pedregal,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,1759,Urbano,08
25015,Lomas de Zapaliname,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,1769,Urbano,08
25015,Valle de las Aves,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,1770,Urbano,08
25015,Salomón Abedrop,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2404,Urbano,08
25015,Lomas de San Francisco,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2562,Urbano,08
25015,Nueva Independencia,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2563,Urbano,08
25015,Nuevo Progreso,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2564,Urbano,08
25015,Introductores de Ganado,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2709,Urbano,08
25016,Ignacio Zaragoza,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0017,Urbano,08
25016,Residencial los Rosales,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0152,Urbano,08
25016,Colinas de Santiago,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0180,Urbano,08
25016,Popular Loma Blanca,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,0396,Urbano,08
25016,Sierra Alta Residencial,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0411,Urbano,08
25016,Prados de San José,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0418,Urbano,08
25016,Tres Vientos,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0465,Urbano,08
25016,Valle de los Almendros,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0474,Urbano,08
25016,Privada Villas de San José,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,0483,Urbano,08
25016,Ciudad Mirasierra,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,1838,Urbano,08
25016,Lomas del Bosque,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,1839,Urbano,08
25016,Puerta del Oriente,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,1841,Urbano,08
25016,Privadas la Torre,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,2405,Urbano,08
25016,Privada los Magueyes,Fraccionamiento,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,21,030,2577,Urbano,08
25016,Loma Linda,Colonia,Saltillo,Coahuila de Zaragoza,Saltillo,25001,05,25001,,09,030,2580,Urbano,08
