d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
62000,Cuernavaca Centro,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,0001,Urbano,02
62009,Palacio de Gobierno del Estado de Morelos,Equipamiento,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,17,007,0004,Urbano,02
62010,Altavista,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,0005,Urbano,02
62010,Las Piletas,Fraccionamiento,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,21,007,1030,Urbano,02
62017,Margarita Maza de Juárez,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,0006,Urbano,02
62018,Altavista Barrancas,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,0007,Urbano,02
62019,Loma Hermosa,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,0008,Urbano,02
62019,Plan de Ayala Barrancas,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,1008,Urbano,02
62019,Provinciana,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,1009,Urbano,02
62019,Tepeyehualco,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,1026,Rural,02
62020,Lomas de San Antón,Fraccionamiento,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,21,007,0009,Urbano,02
62020,José López Portillo,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,0010,Urbano,02
62020,Sacatierra,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,0011,Rural,02
62020,San Antón,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,0012,Urbano,02
62020,Las Terrazas,Unidad habitacional,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,31,007,1029,Urbano,02
62020,Ampliación Sacatierra,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,1911,Urbano,02
62028,Loma de los Amates (Loma de la Lagunilla),Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,0045,Rural,02
62028,Nueva Santa María,Colonia,Cuernavaca,Morelos,Cuernavaca,62001,17,62001,,09,007,1013,Urbano,02
