d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
78000,San Luis Potosí Centro,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,09,028,0001,Urbano,05
78037,La Paz,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,09,028,0017,Urbano,05
78037,Privada Caracol,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,028,2988,Urbano,05
78038,Tlaxcala,Barrio,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,02,028,0018,Urbano,05
78040,Hidalgo,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,09,028,0020,Urbano,05
78049,Rinconada de Santiago,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,09,028,0021,Urbano,05
78049,Juan Alvarez,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,09,028,0023,Urbano,05
78049,Santiago del Río,Barrio,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,02,028,0024,Urbano,05
78049,Santiago del Río,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,028,0075,Urbano,05
78049,Fresnos del Río,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,028,2061,Urbano,05
78049,Privada Residencial Real de Alvarez,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,028,2250,Urbano,05
78049,Conjunto Pedro Moreno,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,028,2251,Urbano,05
78049,Villas de Pedro Moreno,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,028,2252,Urbano,05
78049,Privada Altamirano,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,028,2302,Urbano,05
78049,Residencial las Moras,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78001,24,78001,,21,028,2326,Urbano,05
78100,Mártires de La Revolución,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0025,Urbano,05
78100,Villa Esperanza,Condominio,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,10,028,0033,Urbano,05
78100,Villa María,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0144,Urbano,05
78100,Villa Fontana,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0231,Urbano,05
78100,Tercera Chica,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0281,Urbano,05
78100,Rinconada de los Magueyes,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0306,Urbano,05
78100,Compostela,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0316,Urbano,05
78100,El Milagro,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0318,Urbano,05
78100,Torres de San Francisco,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0319,Urbano,05
78100,Los Tules,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0326,Urbano,05
78100,Los Puertos,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0381,Urbano,05
78100,Luis Córdova Reyes,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0382,Urbano,05
78100,Torremolinos Dos,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0383,Urbano,05
78100,Compostela II,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0392,Urbano,05
78100,Rincón Verde,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0393,Urbano,05
78100,Albea,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0395,Urbano,05
78100,La Matamoros,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0917,Urbano,05
78100,El Sauzalite,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,1024,Urbano,05
78100,Huachichiles,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,2098,Urbano,05
78100,Rubén Jaramillo,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2115,Urbano,05
78100,Real de Peñasco,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,2124,Urbano,05
78100,Los Magueyes,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2131,Urbano,05
78100,Ricardo Flores Magón,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2254,Urbano,05
78100,Valle San José,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2256,Urbano,05
78100,Andalucía,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2294,Urbano,05
78100,Torremolinos,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2297,Urbano,05
78100,Terremoto,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2305,Urbano,05
78100,Árbol del Gallo,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,2336,Urbano,05
78100,Nueva Creación,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2355,Urbano,05
78100,Villas del Vergel,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,2560,Urbano,05
78100,Barrio Vergel,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2957,Urbano,05
78100,Los Alcatraces,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,2997,Urbano,05
78100,Molinos del Rey,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,4791,Urbano,05
78106,La Morena,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0026,Urbano,05
78107,La Tuna,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0027,Urbano,05
78107,Garita de Saltillo,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0893,Urbano,05
78109,Las Flores,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0029,Urbano,05
78109,Villa de las Flores,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2073,Urbano,05
78109,Jardines del Río,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2095,Urbano,05
78109,Los Girasoles,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2262,Urbano,05
78109,Villa de Las Flores II,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,3012,Urbano,05
78110,Imperio Azteca,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0028,Urbano,05
78110,División del Norte,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0030,Urbano,05
78110,El Saucito,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0031,Urbano,05
78110,María Amelia,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0322,Urbano,05
78110,Eulalio Gutiérrez,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0350,Urbano,05
78110,Cerrada los Ángeles,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0372,Urbano,05
78110,El Oasis,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0886,Urbano,05
78110,Villas del Roble,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2075,Urbano,05
78110,San Arturo,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2929,Urbano,05
78116,Santa Rosa,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0034,Urbano,05
78116,El Sauzalito,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0035,Urbano,05
78116,Rancho la Cruz,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0046,Urbano,05
78116,Del Sauce,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0222,Urbano,05
78116,Residencial Sauzalito,Condominio,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,10,028,0290,Urbano,05
78116,Villas del Saucito,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0385,Urbano,05
78116,Villas del Sauzalito,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0386,Urbano,05
78116,San Angelín II,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0443,Urbano,05
78116,Los Salazares,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0960,Urbano,05
78116,San Angelín,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,1002,Urbano,05
78116,Rinconadas,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,1948,Urbano,05
78116,Camino Real,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2080,Urbano,05
78116,San Angelín III,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2111,Urbano,05
78116,San Fernando,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,2112,Urbano,05
78116,Privada San Angelín,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,2243,Urbano,05
78116,Jardines del Sauzal,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,2996,Urbano,05
78117,La Angostura,Colonia,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,09,028,0036,Urbano,05
78117,Punta del Valle,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0308,Urbano,05
78117,Santa Rosalía,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0325,Urbano,05
78117,Granjas La Estrella,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0897,Urbano,05
78117,María Cecilia,Fraccionamiento,San Luis Potosí,San Luis Potosí,San Luis Potosí,78141,24,78141,,21,028,0963,Urbano,05
