d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
98000,Zacatecas Centro,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,0001,Urbano,03
98010,Ramón López Velarde,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,0008,Urbano,03
98015,Mexicapan,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,21,056,0009,Urbano,03
98017,Margaritas,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,0011,Urbano,03
98017,Los Filarmónicos,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,0017,Urbano,03
98017,Privada Aziz,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,21,056,0050,Urbano,03
98017,Privada Residencial San Pedro,Fraccionamiento,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,21,056,1713,Urbano,03
98018,Garcia Salinas,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,0012,Urbano,03
98019,Pedro Ruiz González INFONAVIT,Unidad habitacional,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,31,056,0013,Urbano,03
98020,Gustavo Diaz Ordaz 1a Secc,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,0014,Urbano,03
98020,Gustavo Diaz Ordaz 2a Secc,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,0015,Urbano,03
98020,Gustavo Diaz Ordaz 3a Secc,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,0016,Urbano,03
98023,Bracho (Lomas de Bracho),Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,1439,Rural,03
98024,De Olivos,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,1698,Urbano,03
98024,La Pinta,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,1707,Urbano,03
98024,Las Mercedes,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,1710,Urbano,03
98040,Bancomer,Colonia,Zacatecas,Zacatecas,Zacatecas,98001,32,98001,,09,056,0019,Urbano,03
